OBJECTID,CMPTRL_CNTY_NBR,CNTY_NM,DPS_CNTY_NBR,FIPS_ST_CNTY_CD,TXDOT_CNTY_NBR,TXDOT_DIST_NBR,GID,Shape__Area,Shape__Length,Median_household_income,HS_graduation_rate,Physically_inactive,Smoking,Air pollution particulate matter (average daily PM2.5),Overcrowding, Uninsured,Mental_health_provider_ratio,Self_rated_health
203,244,Wilbarger,244,48487,244,3,226,3699220734.67578,310644.204963176,42600,91,31,21,6.6,3,22,670,74
70,245,Willacy,245,48489,245,21,2,2388121778.5332,243035.037589471,35800,90,26,20,7.8,10,23,3560,63
43,246,Williamson,246,48491,246,14,77,3988776749.75781,293706.405712114,92700,95,19,12,8.5,2,12,830,85
100,247,Wilson,247,48493,247,15,33,2755010612.94922,226152.230468406,76900,95,32,16,8,5,16,3190,81
154,248,Winkler,248,48495,248,6,134,3025285051.71484,231838.234337977,64900,93,22,19,6.2,3,21,,73
209,249,Wise,249,48497,249,2,193,3423302128.36719,234100.195555208,70500,95,28,19,8.4,3,21,3330,80
177,250,Wood,250,48499,250,10,180,2555659112.28906,266075.813166364,56900,96,31,20,8.7,2,20,2850,80
206,251,Yoakum,251,48501,251,5,190,2966319209.02344,218057.874410595,62600,96,21,16,6.2,9,22,4360,75185,252,Young,252,48503,252,3,188,3450025361.09766,235318.400765543,52600,97,35,21,6.9,3,22,1800,79
75,253,Zapata,253,48505,253,21,7,3466109335.94336,268067.332328048,36100,91,18,20,7.2,14,28,,60
92,254,Zavala,254,48507,254,22,25,4395612851.01953,268718.164670839,32500,93,25,21,6.9,6,20,1970,60
